latitude,longitude,area
35.7608333 ,139.5622222 ,5855 
35.7592222 ,139.5577778 ,3289 
35.7589444 ,139.5597222 ,3592 
35.7592222 ,139.5606389 ,837 
35.7578611 ,139.5646944 ,1605 
35.7577500 ,139.5654444 ,3987 
35.7569167 ,139.5575556 ,979 
35.7564444 ,139.5597500 ,1195 
35.7573333 ,139.5618611 ,1194 
35.7560833 ,139.5575833 ,1555 
35.7559444 ,139.5585556 ,2732 
35.7549722 ,139.5605556 ,9163 
35.7563056 ,139.5637222 ,10100 
35.7563056 ,139.5659444 ,4325 
35.7556667 ,139.5557500 ,7356 
35.7549722 ,139.5588611 ,1441 
35.7546667 ,139.5546389 ,1598 
35.7541111 ,139.5583611 ,2618 
35.7538056 ,139.5593611 ,5451 
35.7523056 ,139.5568611 ,7988 
35.7530556 ,139.5584444 ,1201 
35.7534722 ,139.5438611 ,1794 
35.7520833 ,139.5503056 ,3283 
35.7513333 ,139.5475833 ,1879 
35.7505278 ,139.5488611 ,1821 
35.7506111 ,139.5502778 ,565 
35.7498056 ,139.5503611 ,1144 
35.7545000 ,139.5535556 ,636 
35.7538056 ,139.5544444 ,5241 
35.7527778 ,139.5535278 ,701 
35.7531667 ,139.5546667 ,912 
35.7526111 ,139.5530278 ,3064 
35.7521944 ,139.5557778 ,1381 
35.7508611 ,139.5525556 ,3388 
35.7506944 ,139.5562778 ,5737 
35.7493333 ,139.5540278 ,1655 
35.7500000 ,139.5555556 ,3632 
35.7486667 ,139.5559444 ,1108 
35.7484444 ,139.5535833 ,2707 
35.7478056 ,139.5550000 ,1251 
35.7476389 ,139.5566111 ,9044 
35.7547778 ,139.5637778 ,1520 
35.7554444 ,139.5656111 ,1404 
35.7554444 ,139.5662500 ,2215 
35.7536111 ,139.5645278 ,1994 
35.7536111 ,139.5677222 ,3986 
35.7520833 ,139.5654444 ,2482 
35.7523889 ,139.5675278 ,2761 
35.7523611 ,139.5682222 ,4204 
35.7519167 ,139.5571944 ,705 
35.7514167 ,139.5613333 ,889 
35.7504722 ,139.5635000 ,3570 
35.7503333 ,139.5688333 ,4064 
35.7497222 ,139.5611667 ,733 
35.7497778 ,139.5678333 ,1276 
35.7488056 ,139.5580556 ,4370 
35.7493611 ,139.5614722 ,520 
35.7483333 ,139.5591111 ,663 
35.7481389 ,139.5628056 ,3149 
35.7483333 ,139.5455833 ,7852 
35.7478056 ,139.5455000 ,2567 
35.7471389 ,139.5449167 ,2490 
35.7455556 ,139.5461667 ,14314 
35.7444444 ,139.5451389 ,3863 
35.7441389 ,139.5468889 ,840 
35.7428056 ,139.5460833 ,5201 
35.7495278 ,139.5472778 ,922 
35.7489444 ,139.5495833 ,925 
35.7472778 ,139.5466389 ,2294 
35.7480278 ,139.5484167 ,2294 
35.7481667 ,139.5495833 ,1954 
35.7484167 ,139.5507778 ,4498 
35.7464444 ,139.5482778 ,14181 
35.7469167 ,139.5493333 ,1713 
35.7466667 ,139.5525000 ,2984 
35.7466389 ,139.5532778 ,2969 
35.7471111 ,139.5542222 ,1464 
35.7474722 ,139.5549722 ,1385 
35.7465000 ,139.5565556 ,968 
35.7468889 ,139.5580278 ,1329 
35.7448611 ,139.5527778 ,10157 
35.7440833 ,139.5484722 ,2654 
35.7412778 ,139.5485556 ,2557 
35.7465000 ,139.5580556 ,1179 
35.7459444 ,139.5585833 ,6129 
35.7442222 ,139.5555556 ,1127 
35.7445000 ,139.5587500 ,500 
35.7431667 ,139.5563333 ,5149 
35.7418889 ,139.5538889 ,7306 
35.7418611 ,139.5551667 ,2366 
35.7420000 ,139.5556111 ,0 
35.7413889 ,139.5553889 ,14861 
35.7378611 ,139.5498056 ,585 
35.7381111 ,139.5516667 ,1641 
35.7384722 ,139.5536944 ,1871 
35.7470000 ,139.5593056 ,971 
35.7457778 ,139.5603056 ,1066 
35.7470000 ,139.5655556 ,4858 
35.7460000 ,139.5656389 ,1040 
35.7454444 ,139.5669722 ,4700 
35.7424167 ,139.5640833 ,500 
35.7435278 ,139.5673611 ,5307 
35.7410556 ,139.5638611 ,9009 
35.7407222 ,139.5664444 ,1537 
35.7407778 ,139.5673333 ,1212 
35.7389722 ,139.5671389 ,6436 
35.7398333 ,139.5322500 ,1454 
35.7402778 ,139.5336389 ,4303 
35.7391111 ,139.5344444 ,629 
35.7389722 ,139.5310278 ,2494 
35.7380833 ,139.5327778 ,8767 
35.7386389 ,139.5334722 ,2100 
35.7387222 ,139.5348889 ,858 
35.7373333 ,139.5358056 ,1188 
35.7361111 ,139.5308056 ,1818 
35.7355556 ,139.5352222 ,20200 
35.7347222 ,139.5285000 ,3197 
35.7342500 ,139.5305278 ,700 
35.7344167 ,139.5330556 ,18463 
35.7332778 ,139.5350278 ,9543 
35.7336667 ,139.5370000 ,19668 
35.7383333 ,139.5359444 ,7446 
35.7332222 ,139.5401667 ,1323 
35.7379444 ,139.5431111 ,2691 
35.7370833 ,139.5422778 ,4376 
35.7358056 ,139.5422500 ,3364 
35.7331944 ,139.5423889 ,5439 
35.7326944 ,139.5463333 ,3437 
35.7390833 ,139.5560278 ,9374 
35.7401111 ,139.5621389 ,4683 
35.7393333 ,139.5580833 ,2282 
35.7401667 ,139.5602500 ,1843 
35.7392778 ,139.5630000 ,991 
35.7383333 ,139.5584167 ,13390 
35.7374444 ,139.5598333 ,5511 
35.7367778 ,139.5576667 ,5682 
35.7370556 ,139.5584167 ,523 
35.7366111 ,139.5598889 ,1549 
35.7362778 ,139.5617222 ,6176 
35.7356944 ,139.5635000 ,2358 
35.7360833 ,139.5656389 ,3623 
35.7358889 ,139.5670833 ,3530 
35.7334722 ,139.5213333 ,4951 
35.7320556 ,139.5213889 ,5767 
35.7319167 ,139.5273889 ,4199 
35.7317222 ,139.5290000 ,5694 
35.7311944 ,139.5297778 ,9621 
35.7303889 ,139.5273889 ,1934 
35.7298333 ,139.5176667 ,497 
35.7298056 ,139.5209167 ,5549 
35.7282222 ,139.5247222 ,18257 
35.7293889 ,139.5289167 ,2085 
35.7274167 ,139.5209167 ,860 
35.7270000 ,139.5216667 ,1869 
35.7265833 ,139.5223056 ,3496 
35.7263056 ,139.5262500 ,1248 
35.7238611 ,139.5230278 ,4698 
35.7251111 ,139.5266389 ,2085 
35.7258889 ,139.5279444 ,2046 
35.7225833 ,139.5234444 ,4093 
35.7331944 ,139.5311111 ,8624 
35.7311944 ,139.5313333 ,0 
35.7313889 ,139.5360556 ,1365 
35.7328611 ,139.5468056 ,1096 
35.7356667 ,139.5491944 ,563 
35.7356944 ,139.5501667 ,3477 
35.7361389 ,139.5512500 ,2187 
35.7358611 ,139.5544167 ,7458 
35.7333889 ,139.5535000 ,1326 
35.7326667 ,139.5537222 ,2429 
35.7327500 ,139.5547500 ,1551 
35.7337500 ,139.5579444 ,3872 
35.7348611 ,139.5580000 ,14237 
35.7342222 ,139.5639167 ,2501 
35.7352222 ,139.5644167 ,1613 
35.7343889 ,139.5680278 ,8937 
35.7325556 ,139.5650278 ,764 
35.7328056 ,139.5656389 ,1119 
35.7330833 ,139.5672500 ,5079 
35.7318611 ,139.5670278 ,1166 
35.7321667 ,139.5677222 ,4050 
35.7307222 ,139.5567500 ,3775 
35.7311111 ,139.5599167 ,5841 
35.7313056 ,139.5628333 ,1084 
35.7311944 ,139.5643056 ,1166 
35.7239167 ,139.5304167 ,6743 
35.7250000 ,139.5313889 ,3557 
35.7238056 ,139.5327778 ,4841 
35.7257778 ,139.5338889 ,1253 
35.7246389 ,139.5335556 ,2659 
35.7245278 ,139.5338889 ,4702 
35.7258056 ,139.5348889 ,16074 
35.7242778 ,139.5370278 ,2212 
35.7225000 ,139.5372500 ,6963 
35.7241944 ,139.5382222 ,927 
35.7241944 ,139.5414722 ,2413 
35.7225833 ,139.5440278 ,3326 
35.7230833 ,139.5486944 ,1540 
35.7227500 ,139.5479444 ,2353 
35.7223611 ,139.5472778 ,502 
35.7266667 ,139.5521111 ,567 
35.7261667 ,139.5565278 ,1458 
35.7235556 ,139.5496389 ,1850 
35.7242222 ,139.5508056 ,2279 
35.7225000 ,139.5504722 ,9633 
35.7218056 ,139.5520278 ,6997 
35.7207222 ,139.5519722 ,2816 
35.7203889 ,139.5532500 ,1472 
35.7206111 ,139.5539444 ,2455 
35.7216389 ,139.5559444 ,2334 
35.7243611 ,139.5625000 ,2201 
35.7230556 ,139.5618056 ,2219 
35.7221111 ,139.5638889 ,8404 
35.7216944 ,139.5239167 ,3581 
35.7221667 ,139.5271667 ,2122 
35.7211944 ,139.5265000 ,1483 
35.7222500 ,139.5327222 ,1369 
35.7216944 ,139.5331111 ,12308 
35.7213889 ,139.5387778 ,1352 
35.7225833 ,139.5458333 ,1800 
35.7221667 ,139.5469167 ,685 
35.7200556 ,139.5246389 ,3685 
35.7180833 ,139.5251389 ,10772 
35.7191667 ,139.5266944 ,1936 
35.7196111 ,139.5271667 ,5842 
35.7188611 ,139.5298611 ,20111 
35.7197778 ,139.5316111 ,5184 
35.7179444 ,139.5323056 ,10497 
35.7200556 ,139.5340556 ,17386 
35.7182778 ,139.5340556 ,7347 
35.7199444 ,139.5368611 ,1685 
35.7203333 ,139.5376389 ,1331 
35.7180556 ,139.5379167 ,1734 
35.7164722 ,139.5372500 ,2628 
35.7189167 ,139.5386667 ,5967 
35.7180556 ,139.5400556 ,22875 
35.7191667 ,139.5415000 ,3581 
35.7200000 ,139.5440556 ,1768 
35.7185000 ,139.5444167 ,4710 
35.7207778 ,139.5457222 ,4322 
35.7166389 ,139.5302222 ,633 
35.7136667 ,139.5305000 ,5149 
35.7132500 ,139.5296111 ,1542 
35.7146667 ,139.5330833 ,2447 
35.7151389 ,139.5348889 ,3787 
35.7136944 ,139.5387222 ,5236 
35.7122222 ,139.5378056 ,2709 
35.7150833 ,139.5382222 ,22438 
35.7135278 ,139.5398611 ,2629 
35.7154167 ,139.5413611 ,6136 
35.7562222 ,139.5600000 ,1984 
35.7547222 ,139.5596944 ,2393 
35.7552778 ,139.5634722 ,11383 
35.7556667 ,139.5649444 ,916 
35.7487778 ,139.5595556 ,2500 
35.7393611 ,139.5608333 ,2654 
35.7386944 ,139.5563889 ,689 
35.7230278 ,139.5363611 ,2125 
35.7378333 ,139.5436944 ,1812 
35.7257778 ,139.5240833 ,1012 
35.7168056 ,139.5385000 ,1809 
35.7525000 ,139.5667778 ,3713 
35.7196389 ,139.5463333 ,4158 
35.7353333 ,139.5655556 ,4310 
35.7457500 ,139.5656944 ,739 
35.7403889 ,139.5575833 ,1148 
35.7211389 ,139.5356111 ,2115 
35.7189722 ,139.5333889 ,2806 
35.7363611 ,139.5425556 ,1145 
35.7477500 ,139.5455556 ,4300 
35.7398056 ,139.5541111 ,7870 
35.7562500 ,139.5648611 ,649 
35.7529722 ,139.5520556 ,1172 
35.7510278 ,139.5635278 ,1616 
35.7360556 ,139.5513333 ,1384 
35.7366944 ,139.5642778 ,5897 
35.7276111 ,139.5228889 ,446 
35.7402500 ,139.5672500 ,1063 
35.7170556 ,139.5300556 ,565 
35.7377222 ,139.5572222 ,646 
35.7604167 ,139.5637778 ,400 