latitude,longitude
35.74358 ,139.54601 
35.72763 ,139.53633 
35.72334 ,139.54070 
35.74270 ,139.55324 
35.71990 ,139.53160 
35.73447 ,139.53453 
35.75705 ,139.56438 
35.74249 ,139.56609 
35.75348 ,139.55423 
35.73721 ,139.56323 
35.73985 ,139.55170 
35.72359 ,139.54964 
35.71407 ,139.53751 
35.75105 ,139.54869 
35.72873 ,139.53946 
35.73011 ,139.53645 
35.75230 ,139.54439 
35.72885 ,139.56563 
35.72440 ,139.53532 
35.73384 ,139.52696 
35.74166 ,139.53590 
35.73042 ,139.55818 
35.73385 ,139.54599 
35.75046 ,139.54128 
35.73170 ,139.53352 
35.72297 ,139.55833 
35.71728 ,139.53781 
35.71611 ,139.53166 
35.72121 ,139.52464 
35.73908 ,139.52977 
35.74889 ,139.54465 
35.75296 ,139.55051 
35.75509 ,139.56052 
35.72757 ,139.56543 
35.73123 ,139.55615 
35.73932 ,139.55919 
35.75232 ,139.56032 
35.74533 ,139.56221 
35.73026 ,139.55902 
35.72512 ,139.54997 
35.73372 ,139.55107 
35.72382 ,139.54469 
35.72950 ,139.52089 
35.72841 ,139.55957 
35.74507 ,139.55177 
35.75362 ,139.56570 
35.73758 ,139.54733 
35.74512 ,139.54356 
35.73100 ,139.54393 
35.74780 ,139.56685 
35.72873 ,139.55252 
35.75070 ,139.54364 
35.71483 ,139.54350 
35.73171 ,139.56329 
35.74358 ,139.54601 
35.72763 ,139.53633 
35.72334 ,139.54070 
35.74270 ,139.55324 
35.71990 ,139.53160 
35.73447 ,139.53453 
35.75705 ,139.56438 
35.74249 ,139.56609 
35.75348 ,139.55423 
35.73721 ,139.56323 
35.73985 ,139.55170 
35.72359 ,139.54964 
35.71407 ,139.53751 
35.75105 ,139.54869 
35.72873 ,139.53946 
35.73011 ,139.53645 
35.75230 ,139.54439 
35.72885 ,139.56563 
35.72440 ,139.53532 
35.73384 ,139.52696 
35.74166 ,139.53590 
35.73042 ,139.55818 
35.73385 ,139.54599 
35.75046 ,139.54128 
35.73170 ,139.53352 
35.72297 ,139.55833 
35.71728 ,139.53781 
35.71611 ,139.53166 
35.72121 ,139.52464 
35.73908 ,139.52977 
35.74889 ,139.54465 
35.75296 ,139.55051 
35.75509 ,139.56052 
35.72757 ,139.56543 
35.73123 ,139.55615 
35.73932 ,139.55919 
35.75232 ,139.56032 
35.74533 ,139.56221 
35.73026 ,139.55902 
35.72512 ,139.54997 
35.73372 ,139.55107 
35.72382 ,139.54469 
35.72950 ,139.52089 
35.72841 ,139.55957 
35.74507 ,139.55177 
35.75362 ,139.56570 
35.73758 ,139.54733 
35.74512 ,139.54356 
35.73100 ,139.54393 
35.74780 ,139.56685 
35.72873 ,139.55252 
35.75070 ,139.54364 
35.71483 ,139.54350 
35.73171 ,139.56329 
35.74358 ,139.54601 
35.72763 ,139.53633 
35.72334 ,139.54070 
35.74270 ,139.55324 
35.71990 ,139.53160 
35.73447 ,139.53453 
35.75705 ,139.56438 
35.74249 ,139.56609 
35.75348 ,139.55423 
35.73721 ,139.56323 
35.73985 ,139.55170 
35.72359 ,139.54964 
35.71407 ,139.53751 
35.75105 ,139.54869 
35.72873 ,139.53946 
35.73011 ,139.53645 
35.75230 ,139.54439 
35.72885 ,139.56563 
35.72440 ,139.53532 
35.73384 ,139.52696 
35.74166 ,139.53590 
35.73042 ,139.55818 
35.73385 ,139.54599 
35.75046 ,139.54128 
35.73170 ,139.53352 
35.72297 ,139.55833 
35.71728 ,139.53781 
35.71611 ,139.53166 
35.72121 ,139.52464 
35.73908 ,139.52977 
35.74889 ,139.54465 
35.75296 ,139.55051 
35.75509 ,139.56052 
35.72757 ,139.56543 
35.73123 ,139.55615 
35.73932 ,139.55919 
35.75232 ,139.56032 
35.74533 ,139.56221 
35.73026 ,139.55902 
35.72512 ,139.54997 
35.73372 ,139.55107 
35.72382 ,139.54469 
35.72950 ,139.52089 
35.72841 ,139.55957 
35.74507 ,139.55177 
35.75362 ,139.56570 
35.73758 ,139.54733 
35.74512 ,139.54356 
35.73100 ,139.54393 
35.74780 ,139.56685 
35.72873 ,139.55252 
35.75070 ,139.54364 
35.71483 ,139.54350 
35.73171 ,139.56329 